Division,Bout_Type,Outcome,Outcome_Detailed,Year,Total_Strikes_Win_PerMin,Landed_Win_PerMin,Significant_Win_PerMin,Punch_Win_PerMin,Kick_Win_PerMin,Knee_Win_PerMin,Elbow_Win_PerMin,Head_Win_PerMin,Body_Win_PerMin,Legs_Win_PerMin,Standing_Win_PerMin,Clinch_Win_PerMin,Ground_Win_PerMin,Total_TD_Actions_Win_PerMin,TD_Landed_Win_PerMin,Sub_Att_Win_PerMin,Total_Strikes_Lose_PerMin,Landed_Lose_PerMin,Significant_Lose_PerMin,Punch_Lose_PerMin,Kick_Lose_PerMin,Knee_Lose_PerMin,Elbow_Lose_PerMin,Head_Lose_PerMin,Body_Lose_PerMin,Legs_Lose_PerMin,Standing_Lose_PerMin,Clinch_Lose_PerMin,Ground_Lose_PerMin,Total_TD_Actions_Lose_PerMin,TD_Landed_Lose_PerMin,Sub_Att_Lose_PerMin
Middleweight,Non_Title,Decision,Decision,2021,11.36,9.24,7.04,4.68,2.04,0.08,0.24,5.48,0.68,0.88,6.44,0.24,0.36,0.28,0.2,0,7.52,4.6,2.92,2.4,0.4,0.04,0.08,2.24,0.28,0.4,2.8,0.12,0,0.2,0.04,0
Middleweight,Title,Decision,Decision,2021,8.32,5.56,4.48,1.48,2.4,0.04,0.56,2.32,0.48,1.68,3.76,0.6,0.12,0,0,0,8.32,4.04,2.44,2.04,0.4,0,0,1.88,0.2,0.36,2.36,0,0.08,0.64,0.12,0.08
Middleweight,Non_Title,Decision,Decision,2021,19.92,16.28,11.96,10.88,0.32,0.44,0.32,10.84,0.96,0.16,9.76,1.28,0.92,0.28,0.16,0.04,10.92,9.2,6.08,5.08,0.8,0.2,0,3.16,2.2,0.72,5.8,0.28,0,0.04,0,0
Middleweight,Non_Title,Decision,Decision,2021,9.76,7.4,5.4,3.72,1.2,0.2,0.28,4.04,1.04,0.32,5.04,0.36,0,0,0,0,10.8,7.84,5,4.04,0.96,0,0,3.08,1.12,0.8,5,0,0,0.36,0.04,0
Middleweight,Non_Title,Finish,Submission,2021,12.77,11.7,6.3,5.24,0.25,0,0.9,5.32,0.82,0.25,0.74,0.25,5.32,0.49,0.25,0.16,4.5,3.93,2.86,1.96,0.25,0.57,0.08,2.05,0.65,0.16,2.13,0.74,0,0,0,0
Middleweight,Non_Title,Decision,Decision,2022,13.04,10.76,7.16,6,1.08,0.08,0,5.88,1.16,0.12,6.96,0.2,0,0,0,0,13.28,9.44,5.72,3.28,2.4,0.04,0,1.56,2.12,2.04,5.64,0.08,0,0.36,0.04,0
Middleweight,Title,Decision,Decision,2022,6.68,4,2.92,1.12,1.72,0.08,0,1.32,0.52,1.08,2.8,0.12,0,0,0,0,5.24,2.8,1.72,1.12,0.4,0.2,0,1.04,0.12,0.56,1.44,0.24,0.04,0.52,0.16,0.04
Middleweight,Title,Decision,Decision,2022,10.68,7.52,5.48,3,2.4,0,0.08,3.12,0.96,1.4,5.24,0.24,0,0,0,0,8.52,6.48,4.4,2.68,1.12,0.6,0,1.72,1.32,1.36,3.6,0.8,0,0.28,0,0
Middleweight,Title,Finish,KO/TKO,2022,9.58,7.4,5.13,2.95,1.32,0.77,0.14,2.54,1.45,1.18,3.95,1.14,0.09,0.09,0.05,0,8.49,6.36,4.86,3.04,1.68,0.09,0.05,2.77,1.09,1,3.86,0.18,0.82,0.41,0.09,0
Middleweight,Non_Title,Decision,Decision,2022,12.64,10.84,7.8,6.48,1.32,0,0,3.6,3.2,0.96,7.8,0,0,0,0,0,16.68,13.4,8.6,7.56,1.04,0,0,7.52,0.96,0.08,8.32,0.24,0,0.04,0.04,0
